../../lib/math/src/math_pkg.vhd ../../lib/util/src/util_pkg.vhd src/lfsr.vhd tb/lfsr_tb.vhd ../../lib/top/src/top.vhd top_arch.vhd
compiling ../../lib/math/src/math_pkg.vhd
compiling ../../lib/util/src/util_pkg.vhd
compiling src/lfsr.vhd
compiling tb/lfsr_tb.vhd
compiling ../../lib/top/src/top.vhd
compiling top_arch.vhd
ghdl elab-run --std=08 -frelaxed --ieee=synopsys -P=vendor_libs lfsr_tb
tb/lfsr_tb.vhd:74:5:@0ms:(report note): start sim
tb/lfsr_tb.vhd:69:7:@122209ns:(report note): seed: 228, period: 255
tb/lfsr_tb.vhd:69:7:@122745ns:(report note): seed: 229, period: 255
tb/lfsr_tb.vhd:69:7:@123281ns:(report note): seed: 230, period: 255
tb/lfsr_tb.vhd:69:7:@123817ns:(report note): seed: 231, period: 255
tb/lfsr_tb.vhd:69:7:@124353ns:(report note): seed: 232, period: 255
tb/lfsr_tb.vhd:69:7:@124889ns:(report note): seed: 233, period: 255
tb/lfsr_tb.vhd:69:7:@125425ns:(report note): seed: 234, period: 255
tb/lfsr_tb.vhd:69:7:@125961ns:(report note): seed: 235, period: 255
tb/lfsr_tb.vhd:69:7:@126497ns:(report note): seed: 236, period: 255
tb/lfsr_tb.vhd:69:7:@127033ns:(report note): seed: 237, period: 255
tb/lfsr_tb.vhd:69:7:@127569ns:(report note): seed: 238, period: 255
tb/lfsr_tb.vhd:69:7:@128105ns:(report note): seed: 239, period: 255
tb/lfsr_tb.vhd:69:7:@128641ns:(report note): seed: 240, period: 255
tb/lfsr_tb.vhd:69:7:@129177ns:(report note): seed: 241, period: 255
tb/lfsr_tb.vhd:69:7:@129713ns:(report note): seed: 242, period: 255
tb/lfsr_tb.vhd:69:7:@130249ns:(report note): seed: 243, period: 255
tb/lfsr_tb.vhd:69:7:@130785ns:(report note): seed: 244, period: 255
tb/lfsr_tb.vhd:69:7:@131321ns:(report note): seed: 245, period: 255
tb/lfsr_tb.vhd:69:7:@131857ns:(report note): seed: 246, period: 255
tb/lfsr_tb.vhd:69:7:@132393ns:(report note): seed: 247, period: 255
tb/lfsr_tb.vhd:69:7:@132929ns:(report note): seed: 248, period: 255
tb/lfsr_tb.vhd:69:7:@133465ns:(report note): seed: 249, period: 255
tb/lfsr_tb.vhd:69:7:@134001ns:(report note): seed: 250, period: 255
tb/lfsr_tb.vhd:69:7:@134537ns:(report note): seed: 251, period: 255
tb/lfsr_tb.vhd:69:7:@135073ns:(report note): seed: 252, period: 255
tb/lfsr_tb.vhd:69:7:@135609ns:(report note): seed: 253, period: 255
tb/lfsr_tb.vhd:69:7:@136145ns:(report note): seed: 254, period: 255
